escenario,nombre_html,nombre_xlsx,voto_html,voto_xlsx,provincia_html,provincia_xlsx,bloque_html,bloque_xlsx,familia_html,fuente_voto,fuente_distrito,confianza,cambia_provincia,cambia_voto,observaciones
YPF_SENADO,"MENEM, Carlos Saúl","MENEM, CARLOS SAÚL",AUSENTE,AUSENTE,La Rioja,La Rioja,PJ Federal,FEDERALISMO Y LIBERACIÓN,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"MONLLAU, Blanca Mabel","MONLLAU, BLANCA MARIA DEL VALLE",ABSTENCION,ABSTENCION,Chaco,Catamarca,Trabajo y Dignidad,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,SI,NO,
YPF_SENADO,"MONTERO, Laura Gisela","MONTERO, LAURA GISELA",AFIRMATIVO,AFIRMATIVO,Mendoza,Mendoza,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"MORALES, Gerardo Rubén","MORALES, GERARDO RUBÉN",AFIRMATIVO,AFIRMATIVO,Jujuy,Jujuy,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"MORANDINI, Norma Elena","MORANDINI, NORMA ELENA",ABSTENCION,ABSTENCION,Córdoba,Córdoba,Memoria y Democracia,FRENTE CIVICO DE LA PROVINCIA DE CORDOBA,Centroizquierda,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"NEGRE DE ALONSO, Liliana Teresita","NEGRE DE ALONSO, LILIANA TERESITA",NEGATIVO,NEGATIVO,San Luis,San Luis,Compromiso Federal,JUSTICIALISTA SAN LUIS,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"NIKISCH, Roy Abelardo","NIKISCH, ROY ABELARDO",AFIRMATIVO,AFIRMATIVO,Chaco,Chaco,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"PARRILLI, Nanci María Agustina","PARRILLI, NANCI MARIA AGUSTINA",AFIRMATIVO,AFIRMATIVO,Neuquén,Neuquén,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"PÉREZ ALSINA, Juan Agustín","PEREZ ALSINA, JUAN AGUSTIN",AFIRMATIVO,AFIRMATIVO,Salta,Salta,Partido Renovador de Salta,PARTIDO RENOVADOR DE SALTA,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"PÉRSICO, Daniel Raúl","PÉRSICO, DANIEL RAÚL",AFIRMATIVO,AFIRMATIVO,San Juan,San Luis,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
