escenario,nombre_html,nombre_xlsx,voto_html,voto_xlsx,provincia_html,provincia_xlsx,bloque_html,bloque_xlsx,familia_html,fuente_voto,fuente_distrito,confianza,cambia_provincia,cambia_voto,observaciones
AEROLINEAS_SENADO,"GUASTAVINO, Pedro Guillermo Ángel","GUASTAVINO, PEDRO GUILLERMO ÁNGEL",AFIRMATIVO,AFIRMATIVO,Entre Ríos,Entre Ríos,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"GUINLE, Marcelo Alejandro","GUINLE, MARCELO ALEJANDRO HORACIO",AFIRMATIVO,AFIRMATIVO,Chubut,Chubut,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,NO,NO,
AEROLINEAS_SENADO,"ITURREZ DE CAPPELLINI, Ada Rosa","ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE",AFIRMATIVO,AFIRMATIVO,Catamarca,Santiago del Estero,Frente Cívico por Santiago,FRENTE CÍVICO POR SANTIAGO,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,SI,NO,
AEROLINEAS_SENADO,"JENEFES, Guillermo Raúl","JENEFES, GUILLERMO RAÚL",AFIRMATIVO,AFIRMATIVO,Jujuy,Jujuy,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"LATORRE, Roxana Itatí","LATORRE, ROXANA ITATÍ",AUSENTE,AUSENTE,Santa Fe,Santa Fe,PJ Frente para la Victoria,FEDERALISMO SANTAFESINO,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"LORES, Horacio","LORES, HORACIO",AFIRMATIVO,AFIRMATIVO,Neuquén,Neuquén,Movimiento Popular Neuquino,MOVIMIENTO POPULAR NEUQUINO,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MARINO, Juan Carlos","MARINO, JUAN CARLOS",NEGATIVO,NEGATIVO,La Pampa,La Pampa,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MARÍN, Rubén Hugo","MARÍN, RUBÉN HUGO",AFIRMATIVO,AFIRMATIVO,La Pampa,La Pampa,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MARTÍNEZ, Alfredo Anselmo","MARTÍNEZ, ALFREDO ANSELMO",NEGATIVO,NEGATIVO,Tucumán,Santa Cruz,PJ Frente para la Victoria,UCR - UNIÓN CÍVICA RADICAL,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"MARTÍNEZ, José Carlos","MARTINEZ, JOSE CARLOS",AFIRMATIVO,AFIRMATIVO,Tucumán,Tierra del Fuego,PJ Frente para la Victoria,NUEVO ENCUENTRO,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"MASSONI, Norberto","MASSONI, NORBERTO",NEGATIVO,NEGATIVO,Chubut,Chubut,Provincial del Chubut,UCR - UNIÓN CÍVICA RADICAL,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MAYANS, José Miguel Ángel","MAYANS, JOSÉ MIGUEL ÁNGEL",AFIRMATIVO,AFIRMATIVO,Formosa,Formosa,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MAZA, Ada Mercedes","MAZA, ADA MERCEDES",AFIRMATIVO,AFIRMATIVO,La Rioja,La Rioja,PJ Federal,PJ FRENTE PARA LA VICTORIA,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MENEM, Carlos Saúl","MENEM, CARLOS SAÚL",AUSENTE,AUSENTE,La Rioja,La Rioja,PJ Federal,FEDERALISMO Y LIBERACIÓN,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MIRANDA, Julio Antonio","MIRANDA, JULIO ANTONIO",AFIRMATIVO,AFIRMATIVO,Tucumán,Tucumán,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"MORALES, Gerardo Rubén","MORALES, GERARDO RUBÉN",NEGATIVO,NEGATIVO,Jujuy,Jujuy,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"NEGRE DE ALONSO, Liliana Teresita","NEGRE DE ALONSO, LILIANA TERESITA",NEGATIVO,NEGATIVO,San Luis,San Luis,PJ Federal,JUSTICIALISTA SAN LUIS,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"NIKISCH, Roy Abelardo","NIKISCH, ROY ABELARDO",NEGATIVO,NEGATIVO,Chaco,Chaco,PJ Frente para la Victoria,UCR - UNIÓN CÍVICA RADICAL,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"OSUNA, Blanca Inés","OSUNA, BLANCA INES",AFIRMATIVO,AFIRMATIVO,Entre Ríos,Entre Ríos,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"PAMPURO, José Juan Bautista","PAMPURO, JOSÉ JUAN BAUTISTA",PRESIDENCIA,AFIRMATIVO,Buenos Aires,Buenos Aires,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,SI,
AEROLINEAS_SENADO,"PARRILLI, Nanci María Agustina","PARRILLI, NANCI MARIA AGUSTINA",AFIRMATIVO,AFIRMATIVO,Neuquén,Neuquén,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"PERCEVAL, María Cristina","PERCEVAL, MARÍA CRISTINA",AFIRMATIVO,AFIRMATIVO,Mendoza,Mendoza,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"PÉREZ ALSINA, Juan Agustín","PEREZ ALSINA, JUAN AGUSTIN",NEGATIVO,NEGATIVO,Salta,Salta,Frente Cívico por Santiago,PARTIDO RENOVADOR DE SALTA,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"PERSICO, Daniel Raúl","PÉRSICO, DANIEL RAÚL",AFIRMATIVO,AFIRMATIVO,San Juan,San Luis,PJ Frente para la Victoria,,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"PETCOFF NAIDENOFF, Luis Carlos","PETCOFF NAIDENOFF, LUIS CARLOS",NEGATIVO,NEGATIVO,Formosa,Formosa,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"PICHETTO, Miguel Ángel","PICHETTO, MIGUEL ÁNGEL",AFIRMATIVO,AFIRMATIVO,Río Negro,Río Negro,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"PINCHETTI DE SIERRA MORALES, Delia","PINCHETTI DE SIERRA MORALES, DELIA NORMA",NEGATIVO,NEGATIVO,Tucumán,Tucumán,UCR - Concertación,TUCUMAN,Concertación / CF,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,NO,NO,
AEROLINEAS_SENADO,"QUINTELA, Teresita Nicolasa","QUINTELA, TERESITA NICOLASA",AFIRMATIVO,AFIRMATIVO,La Rioja,La Rioja,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"RACHED, Emilio Alberto","RACHED, EMILIO ALBERTO",NEGATIVO,NEGATIVO,Santiago del Estero,Santiago del Estero,Frente Cívico por Santiago,UCR - UNIÓN CÍVICA RADICAL,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"REUTEMANN, Carlos Alberto","REUTEMANN, CARLOS ALBERTO",AUSENTE,AUSENTE,Santa Fe,Santa Fe,PJ Santa Fe,SANTA FE FEDERAL,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"RIOFRIO, Marina Raquel","RIOFRÍO, MARINA RAQUEL",AFIRMATIVO,AFIRMATIVO,San Luis,San Juan,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
